,CUSTOMER_NAME,SERIAL_COUNT
751,Haml naghl jadehei mehdi,1
752,Haml naghl peyman bar co,1
753,Haml naghl sarasari hamed bar co,1
754,Haml naghl tamok co,1
755,Haml naghl zanjireye talaei sorat,1
756,Haml va naghl shomal- jonob company,3
757,Haml-naghl azar dahr,1
758,Haml-naghl rahavard tizro,1
759,Hamlnaghl beynolmelali reyl shargh,1
760,Hamoon-nourab,3
761,Hamsafar chaboksavaran esfahan,38
762,Hamshahri company,114
763,Hamyaran gostaresh noavaran,1
764,Harand hotel co,1
765,Hararat saz pouya co,1
766,Harir pardis shahriar co,2
767,Hava abzar tehran,2
768,Hava shenasi oromiyeh,62
769,Hava shensi ostan khuzestan,1
770,Havaei jahangardi par asman parseh,1
771,Havapeimayi Iran Air Tour Company,25
772,Havapeyma qeshm,1
773,Havapeymaei ATA,52
774,Havapeymaei China Saderland Air,5
775,Havapeymaei Kish,1
776,Havapeymaei Sepehran,3
777,Havapeymaei Zagross Co,8
778,Havapeymaei torkiyeh,2
779,Havapeymaei torkiyeh co,1
780,Havapeyma meraj,13
781,Havasan co,1
782,Havei jahangardi darvazeh sabz,2
783,Hedayat Niroo,1
784,Hedayat va parvaresh andisheh co,1
785,Hedyeh Safaye Zarin Co,1
786,Hefazat Mohit Zist Ostan Esfehan,2
787,Hekmat bank co,158
788,Helal ahmar ostan tehran,1
789,Helecopteri alborz vazin kish co,1
790,Helma gostar khavarmiyaneh co,2
791,Hemayat gostar iran khodro co,2
792,Hesabgar Pardaz garb,3338
793,Hesabresi Mofid Rahbar,3
794,Hesabresio Modiriat Hesabresin,2
795,Hiro Tejarat Arad,1
796,Hodak teb co,1
797,Hoghoughi Manshour Misagh Yaran,1
798,Honarestan pesareneh ghods co,1
799,Hortash Erjen co,2
800,Hotel Beynolmelali Ghasr Khorasan,1
801,Hotel Haye Beynolmelali Parsian,3
802,Hotel Mojallal Darvishi tous,1
803,Houshmand Ertebatat Bamdad,3167
804,Hozeh elmiye azarbayjn sharghi,1
805,Hyper Market haye Maf Pars,5
806,ISIRAN,10
807,ISIRAN Co,2
808,Ideh Khalaghan Asr Etelaat,4
809,Ideh Pardazan Ketab Hooshmand Kia,1
810,Ilia electronic system,1
811,Imen Afzar Seyf Andish,82
812,Imen Samaneh Sepehr Co,1
813,Imen afzar seyf andish co,5
814,Imen andishan pouya novin,1
815,Imen azmon khavarmiyaneh co,1
816,Imen dideh ban aras co,3
817,Imen gostar arya dez co,1
818,Imen khodro shargh co,1
819,Imen moj tous co,4
820,Imen sazan sahand gonesh co,2
821,Indiana Ports Global Mantaghe Azad Chabahar Co,2
822,Iran Khodro Co,2
823,Iran Madar Company,1
824,Iran Malas,1
825,Iran Nara Co,1
826,Iran Ofogh Industrial Development,3
827,Iran dastar,2
828,Iran riseh co,1
829,Iran system,2
830,Iran trailer,1
831,Iranaian Sazeh Tav Mnateghye Azad Anzali,6
832,Iranian emtiyaz co,2
833,Iranian peyazma,3
834,Iranian shamim sazeh co,2
835,Irasco control co,1
836,Iria tash kish,4
837,Isatis Dizel Part Co,1
838,Istro asanbar,1
839,J.T.I parsian,479
840,JTI Pars Co.,127
841,Jadeh talaei sepahan co,2
842,Jahad Keshavarzi Kermanshah,54
843,Jahad keshavarzi shahrestan esfahan,30
844,Jahan Tiva Ara Co,1
845,Jahan bin nasb paydar,1
846,Jahan tajhize padide lotous co,1
847,Jahan zarjoyan arsbaran,2
848,Jam sanat sepahan co,2
849,Jameh mostafa-tabriz,1
850,Jamiat helal ahmar Khuzestan,12
851,Jamiat helalahmar khorasan razavi,2
852,Javid Foulad Mehr Sepahan Co,1
853,Javid tejarat mahab,80
854,Jazb setareh,2
855,Jeld sazan shomal co,2
856,Jem sanat karan co,1
857,KFC halal iranian co,1
858,KHADAMAT MODIRIYAT AFAGHKAVOSHGARAN,1
859,Kabl sina,1
860,Kahkeshan rah nour,1
861,Kahroba gostar co,1
862,Kala Avaran Adak,1
863,Kala Navgan Sharq Company,30
864,Kala avaran araz,3
865,Kala pakhsh gostar mahan co,1
866,Kalaresan bahar kish co,2
867,Kalaresann chapar co,1
868,Kalaye electric,2
869,Kamle boton shargh co,1
870,Kanon bazneshastegan naja,3
871,Kanon zaban iran- shobeh shiraz,1
872,Kanoon Kargaran Bazneshaste Mashhad,1
873,Kanoon Kheirie sandrom dawn Iran,1
874,Kantineri bandar abbas,1
875,Kar joyan mehr varz co,1
876,Kar pardazan sanat maron co,1
877,Kar va ebtekar naghsh jahan,5
878,Kara parnian gostar co,1
879,Kara sahand iranian,2
880,Karaneh sazan zendeh rod,1
881,Karanobin,1
882,Karataraz company,1
883,Karbord kar company,1
884,Karchin company,1
885,Kargozari Ati saz bazar,8
886,Kargozari Bank Ayandeh Co,5
887,Kargozari Mehr Eghtesad Iranian Co,1
888,Kargozari Tadbirgar Sarmayeh,1
889,Kargozari agah co,2
890,Kargozari armoon bourse,2
891,Kargozari ayandeh negar kharazmi,1
892,Kargozari ayandehnegar kharazmi,1
893,Kargozari bank keshavarzi co,1
894,Kargozari bank meli co,2
895,Kargozari banke ayande,1
896,Kargozari etminan co,1
897,Kargozari mofid co-branch2,2
898,Kargozari pishgaman behparvar,1
899,Kargozari rasmi bime Mostaghim bar khat bime yab,1
900,Kargozari rasmi bimeh sepehr milad,1
901,Kargozari sina co,1
902,Kargozari toseh andishesh dana,1
903,Kargozarie Mobin Sarmayeh,1
904,Karkhaneh Jat Mokhaberati Iran,1
905,Karkhaneh jat moghadam,1
906,Karkhanejat Iran Boronz Estil,3
907,Karkhanejat sanati azam semnan,1
908,Kart Etebari Iran Kish Co,53968
909,Kart Iran Khodro,2
910,Kasb va Kar Hoshmand Mana,1
911,Kavish gostar perav,1
912,Kavosh etelaat radin parsian co,80
913,Kavosh mekanizeh fan avar co,1
914,Kavoshgaran Honar bargh Aria,1
915,Kavoshgaran Marzhaye danesh Iliya,5
916,Kavoshgaran bahrevari sanati,1
917,Kavoshgaran taha parvaz co,1
918,Kel Varz Ariana,2
919,Kel Varz Ariana Co,2
920,Keshavarzi Razavi,20
921,Kesht va sanat ana gostar co,1
922,Kesht- sanat khosheh saba,1
923,Keshtirani Valfajr Company,1
924,Keshtirani iran abrah co,1
925,Keshtirani pasha daryaye shargh co,1
926,Ketabkhanehhaye Omomi Mashhad,1
927,Keyhan sanat caspian co,1
928,Keyvan kaveh golshan sepahan,1
929,Khadamat Anformatic novin kish co,1
930,Khadamat Electronic Hami Edalat,2
931,Khadamat Foulad Beton Boukan Co,1
932,Khadamat Havaei Saman,1
933,Khadamat Informatics Kish,51
934,Khadamat Mabna Fartak Aria,86
935,Khadamat Saheli Iran,1
936,Khadamat bimeh eghtesad co,1
937,Khadamat bimeh hamian zendegi co,1
938,Khadamat dana computer co,1
939,Khadamat darmani behbod tabriz,2
940,Khadamat electronic toseh edalat,2
941,Khadamat ertebatat shabkeh elmi,10
942,Khadamat fani mayadin asmari co,1
943,Khadamat nezafati shahr co,1
944,Khadamat poshtibani bank maskan,1
945,Khadamat poshtibani tehran kararra,5
946,Khadamat refahi gardeshgari mashhad,2
947,Khadamat va tejarat Bam khodro,1
948,Khadamat vira tehran,1
949,Khadamati Imen Atiyeh Fraz Co,1
950,Khalijfars etela resan jonob,1
951,Khaneh abi dadeha,2
952,Khaneh hoshmand afrar sarir,1
953,Khat Noghrei Qeshm,1
954,Khate Looleh Hamoun Co,1
955,Khavar Tejarate Arka kish,4
956,Khdamat havaei sepid bal omid co,4
957,Kheiriyeh darmani almahdi co,1
958,Khodro servic shahr,1
959,Khorak dam va toyor ahvaz,2
960,Khoram pakhsh iranian co,1
961,Khorshid mehr gostar rosha co,2
962,Khorshid sepehr caspian co,50
963,Khoshgovar Tehran Co,2
964,Khotot loleh va mokhaberat naftiran,21
965,Khoy municipality,1
966,Kia Tejarat Alborz Iranian,40
967,Kia lian moharek asanbar co,1
968,Kian ghateh karon co,1
969,Kian kar safahan co,1
970,Kimia Ara Utab,1
971,Kimia Fateh Salamat,1
972,Kimia ertebat pars co,1
973,Kimia padideh tij,2
974,Kimiya Felez Azar Co,1
975,Kiseh poli ramin co,2
976,Kish telgom gostar co,1
977,Kohan Radman Co,18
978,Kohan Radman Kand,7
979,Kohan Taj Kimia,1
980,Kohan tak part co,1
981,Komiteh Emdad Azarbijan sharghi,3
982,Komiteh emdad emam khomeini,5
983,Kondor sanat parsian,1
984,Kontor Sazi iran,1
985,Kopal boton co,1
986,Kosar Andishan Novin Tosee Mandegar,182
987,Kosar andishan novin tosee mandegar,10
988,Kosar sanat espadana,1
989,Koshakar kamyab,2
990,Koshavaran gharb lorrestan co,1
991,Koud Vatan Sabz Khalkhal Co,1
992,Kousha Pelast Nikan,3
993,Labani Va Bastani Domino,4
994,Labaniat pastorizeh pak,3
995,Labaniat-bastani shad co,1
996,Labaniyat Kalber Company,1
997,Labratoarhayeh Darohayeh Ghiyahi,34
998,Larzeh sakht savalan co,1
999,Lastik Rasha Tayer Takestan,2
1000,Lavan baft co,1
1001,Lavan electric,2
1002,Lavazem pezeshki shafa,5
1003,Leab mashhad co,1
1004,Lenger co,1
1005,Lian Pars Tangestan Co,1
1006,Loft hanzaya alman company,1
1007,Loleh poli etilen parto,1
1008,Loleh stil sanij jam,1
1009,Lunafam Abhar,2
1010,MATIRAN,28
1011,MOHITE ZISTE ZANJAN,7
1012,Maaden Amir Sangan Parsian Group,4
1013,Mabna Kart Aria,8
1014,Mabna samaneh tajhiz co,1
1015,Madani ahan ajin,5
1016,Madar Takhasosi Foroudgah haye Iran,20
1017,Madar takhasosi mavad sukht hastee,4
1018,Madar takhasosi sanaye ghazaei sina,14
1019,Mader Takhsosi Sherkat Sakht wa Tose Zirbanaye Haml wa Naghl Keshwar,1
1020,Madreseh pesaraneh majd zadeh,1
1021,Madreseh rahnamaei abbaspor,1
1022,Madreseh shohadaye basamnaj,1
1023,Madresheh shahidin beheshti Qom,1
1024,Maghare Sazi Iran,1
1025,Maghare sazi iran,1
1026,Mah Tab Kish Company,1
1027,Mah pardis jonob co,1
1028,Mahak rayan afzar co,5
1029,Mahan Tarh Mirab,3
1030,Mahan gostar sahand,2
1031,Mahban sazeh tadbir,1
1032,Mahbod gostaran arvand,9
1033,Mahdis kosar shahriar,17
1034,Mahor gasht kish co,1
1035,Mahsa tos company,1
1036,Mahsolat farhangi honari mahpishoni,2
1037,Mahya Protein Company,1
1038,Majles shoray eslami,1
1039,Majles shoray eslami,6
1040,Majmoe tafrihi donyaye moj khavaran,1
1041,Makaz fanavari ettelaat va ertebatat,30
1042,Mammut,10
1043,Mammut Industrial Co,1
1044,Mamot telka,278
1045,Manshor sanat pars co,1
1046,Mantaghe 2 Amaliate Enteghale Gaze,2
1047,Mantaghe vizhe bandar emam khomeini,1
1048,MarMar Betoon Co,4
1049,Marine,2
1050,Markaz Behdasht Shomare 2 Mashhad,40
1051,Markaz Behdasht Shomare 3 Mashhad,5
1052,Markaz Khadamat Hozeh Elmieh,26
1053,Markaz Pazhouhesh Majles,1
1054,Markaz Tahghighat Computeri Oloum Eslami,8
1055,Markaz amozesh elmi karboi tabriz,1
1056,Markaz behdasht Oroumiyeh,1
1057,Markaz behdasht jonob,10
1058,Markaz daeratolmaref eslami,1
1059,Markaz foriathye pezeshki Azarbijan shargi,2
1060,Markaz mashinhaye edari,1
1061,Markaz matboat entesharat ghoveh,2
1062,Markaz moayeneh khodrohaye sabok,1
1063,Markaz modiriat havades mazandaran,500
1064,Markaz tahghighat keshavarziardebil,1
1065,Markaz tahghighe sanaye anformatic,2
1066,Markaze khadamat hozehhaye elmiyeh,10
1067,Markazfarhang sazi amozesh bankdari,1
1068,Maron moshaver arjan co,1
1069,Mashahd sadra sargh co,2
1070,Mashhad Zam Zam CO,1
1071,Mashhad davam co,1
1072,Mashhad pay,2
1073,Mashhad talaye iranian,1
1074,Mashin abzar maks,1
1075,Mashin sazi arak,1
1076,Maskan karkonan shabakeh khabar,1
1077,Matin Khodro Co,1
1078,Matin hararat kerman co,1
1079,Mavad Ghazaei Niyousha Dariyan,6
1080,Mavad daroei tehran shimi,1
1081,Mavad ghazaei tolikolak,3
1082,Mavad vizheh lia co,1
1083,Mayvan sazeh gostar co,1
1084,Mazare novin iranian co,19
1085,Mazhin Khodro Pars,1
1086,Media pardaz system,1
1087,Mehr Tabesh,1
1088,Mehr daneh saba co,1
1089,Mehr niyaye dana barin co,1
1090,Mehr sang pars,1
1091,Mehregan tamin pars,1
1092,Mehrfam Rokh Espadana,1
1093,Mehrsan fanavar tavanmand co,11
1094,Melamin sazeh apadana co,3
1095,Meli pakhsh faravardehaye nafti co,7
1096,Meli shimi keshavarz co,1
1097,Mellat Bank,186
1098,Melli Bank,19
1099,Melli Naft East Azarbaijan Co,1
1100,Mellie Khadamat Tadarokat Co,5
1101,Meraj Airlines Co,23
1102,Merca tahlilgaran dadegan co,1
1103,Mersak iran E.S,1
1104,Mesbah Danesh,1
1105,Mi'aad Pakhsh Mehr Gostar,1
1106,Milan Pars Farmed,1
1107,Milan donya eideh tejarat co,1
1108,Miras farhangi sanaye dasti ghazvin,1
1109,Mitsobishi iran company,9
1110,Moameleh garan nik soda co,1
1111,Moasese farhangi tablighati pazhhan,1
1112,Moaseseh Ati Sazan Tasnim,18
1113,Moaseseh ali bakhtar ilam,1
1114,Moaseseh amozesh ali jahad,1
1115,Moaseseh asr pardazesh etelaat amin,2
1116,Moaseseh avaye baran omid,1
1117,Moaseseh bonyad mostazafan,200
1118,Moaseseh farhangi amozeshi binesh,2
1119,Moaseseh farhangi jahadgaran,1
1120,Moaseseh farhangi moaser,1
1121,Moaseseh farhangi varzeshi APT,1
1122,Moaseseh farhangi zaban amozan,1
1123,Moaseseh hemayat az kodakan saratan,30
1124,Moaseseh khadamat hoghogh dadkherad,1
1125,Moaseseh khadamati kasian sepehr,2
1126,Moaseseh khayerin mahdiye esfahan,2
1127,Moaseseh kheiriyeh hamedanian,2
1128,Moaseseh mozeh mosighi shahr ava,2
1129,Moaseseh mozehaye bonyad mostazafan,2
1130,Moaseseh novin sadra espadana,1
1131,Moaseseh pazhoheshi olom ghazei,1
1132,Moaseseh tasvir shahr,2
1133,Moaseseh vokalaye bayan emruz,1
1134,Moasesh elmi chit sazan,8
1135,Moasesh etebari melal,1
1136,Moasesh mahd ghoaran karim esfahan,3
1137,Moasesh tanzim nashr asar emam,6
1138,Moasesh tasvirgaran kalam nor,1
1139,Moasse Mali Va Etebari kosar,58
1140,Moasseseh Mahak,1
1141,Moavenat danesshgah olom pezeshki,1
1142,Moavenat fanavari etelaat va ertebatat,83
1143,Moavenat hoghoghi ghoveh ghazaei,4
1144,Moavenat omran shahrdari esfahan,1
1145,Moavente Hamlo Naghl va Terafice,4
1146,Mobadel khodro pak co,1
1147,Mobasher fahim co,1
1148,Mobin pardazan espadan,300
1149,Modelsazi tabriz,1
1150,Modiriat Tolid bargh bistun Co,1
1151,Modiriat amozesh parvazesh khomeini,1
1152,Modiriat amozesh parvesh shoshtar,1
1153,Modiriat amozesh-parvaresh tabriz,1
1154,Modiriat havades foriathayepezeshki,1
1155,Modiriat sanati tam azarbayjan co,1
1156,Modiriat tolid bargh neka co,3
1157,Modiriyat Banader va Daryanavardi Abadan,1
1158,Modiriyat Bohran Shahr Tehran,14
1159,Mohajer kar company,1
1160,Mohandesi & Tose'e Naft,14
1161,Mohandesi Control Sazan Farayand,1
1162,Mohandesi Fara Riz Ertebat,2
1163,Mohandesi Imen Tiar Co,1
1164,Mohandesi Iran Borna,411
1165,Mohandesi Matin Electronic Tarah,2
1166,Mohandesi Nik Andish Esfahan,10
1167,Mohandesi Noakhtaran Co,2
1168,Mohandesi Ofogh Tose Saberin,18
1169,Mohandesi Parin Control,8
1170,Mohandesi Sazegan Ertebat,5
1171,Mohandesi Sazeh gostar saipa,2
1172,Mohandesi Sefro Yek Pardaz,6
1173,Mohandesi Tabashir Kerman,1
1174,Mohandesi bazargani enerzhi novin,1
1175,Mohandesi derash sakhteman zagros,1
1176,Mohandesi ertebati payam parda,1
1177,Mohandesi ertebati payam pardaz,3
1178,Mohandesi fanavr pouya sepahan,1
1179,Mohandesi frangasht noavar,5
1180,Mohandesi ghadir mehr iranian,1
1181,Mohandesi haml nagh petroshimi co,1
1182,Mohandesi hatel co,1
1183,Mohandesi imen mohaseb honam,2
1184,Mohandesi imen sanat sadid co,1
1185,Mohandesi kasra azmay apadana co,1
1186,Mohandesi kavoshgaran shaygan co,1
1187,Mohandesi mahsan sanat azar co,1
1188,Mohandesi masinan company,2
1189,Mohandesi moshaver ab karkheh co,2
1190,Mohandesi moshaver pezhaveh arad,1
1191,Mohandesi narm aafzar shaghayegh co,1
1192,Mohandesi narmafzar rahavard,1
1193,Mohandesi nitaran pars co,1
1194,Mohandesi pishtazan bordin co,2
1195,Mohandesi radhat system birjand co,1
1196,Mohandesi rayan porojeh jonob co,1
1197,Mohandesi sakht bargh control mapna,2
1198,Mohandesi sakht torgheh enerji,2
1199,Mohandesi satiari ertebat pars,14
1200,Mohandesi systemhaye nazer farzan,1
1201,Mohandesi tara company,1
1202,Mohandesi tarahan sanat tiva co,1
1203,Mohandesi toseh sazandegi sadad,2
1204,Mohandesi va sakhtema sanaye naft,1
1205,Mohandesi va sakhtemani shams omran,3
1206,Mohandesin Moshaver tarahan saze asia,5
1207,Mohandesin Rah & Sakhteman142 Group,1
1208,Mohandesin abniyeh sazan fozhan,5
1209,Mohandesin moshaver amvaj detis co,1
1210,Mohandesin moshaver arya hangard,1
1211,Mohandesin moshaver fanavari makani,1
1212,Mohandesin moshaver kartak co,1
1213,Mohandesin moshaver mekanic khak,1
1214,Mohandesin moshaver monko iran,1
1215,Mohandesin moshaver naghsh paydar,1
1216,Mohandesin moshaver namvar,4
1217,Mohandesin raed niro mantafgeh azad,1
1218,Mohandesin sakhteman yasna fars co,8
1219,Mohaseb sanat daghigh co,1
1220,Mohite Ziest Sistan,15
1221,Mohndesi moshaver dezab,10
1222,Moj Nirou Co,2
1223,Moj yekta espadana co,1
1224,Mojtama Sanati Pilsun,1
1225,Mojtama Sanaye Ghaem Reza Co,5
1226,Mojtama dadeha va systemha,1
1227,Mojtama sanati madani negin kani ehya,2
1228,Mojtama sanaye ghazaei mihanzahedan,2
1229,Mojtamae farhangi varzeshi folad,1
1230,Mojtamae potas khorobiyanak co,2
1231,Mojtame eram sabz,2
1232,Mojtame tafrihi shahre sabz ramsar,1
1233,Mokamelsazi chineh chin khorasan,1
1234,Morgh madar dizpad co,1
1235,Morvarid naghsh tous mashhad,5
1236,Mosaferat havaei jahangardi mahan,1
1237,Moseseh amozeshi alghadir,1
1238,Mosesh tahghighati par tavos,2
1239,Mosharekat mohandesi tarh va tose Spouta,1
1240,Moshaver jahan pay saman co,1
1241,Moshaver sarmayehgozari pishgam,1
1242,Moshaveran saderat varedat noalmas,1
1243,Moshaverin anformatic arya co,1
1244,Moshaverin anformatic niro co,1
1245,Moshaverin beynolmelali naghshnegar,1
1246,Moshver pol san aria,1
1247,Nafis Saba,2
1248,Nafis sanat nikan co,1
1249,Naft Behran,28
1250,Naft Falat Ghareh Iran,80
1251,Naft Pasargad Co,11
1252,Naft azma shimi,2
1253,Naft va Gaz Siah Fam co,1
1254,Naghsh afarinan khalaghiat dan,1
1255,Naghsh rang khojastegan,1
1256,Nagsh gostar omran,8
1257,Nahad Riasat jomhouri,5
1258,Nahad riasat jomhoury Shorayeh Alli Manategh Azad Gheshm,1
1259,Nahal pesteh rafsanjan co,1
1260,Nalino sazeh co,1
1261,Nama Karan Hezareh Sevom,1
1262,Nama parto parsian,1
1263,Nama poshehsh persian,1
1264,Namayeshgah beynolmelali,8
1265,Namayeshgah beynolmelali tabriz,4
1266,Namayeshgahi amitic rata co,1
1267,Nane Sahar,4
1268,Nano choob zagros,2
1269,Nano daro pazhohan pardis co,1
1270,Narin afzar pouya co,10
1271,Narm afzar kosar rayaneh behineh,1
1272,Narm afzari farazan co,1
1273,Narm afzari sazeh espadana,1
1274,Narmafzari dotis arian qeshm,40
1275,Nasaji iran ris alborz co,1
1276,Nasaji karen kavir kashan co,1
1277,Nasaji tandis kashan,1
1278,Nasb Nirou Co,1
1279,Nasim Kaghaz Selulozi Parsina,1
1280,Navar karan foulad gharb co,1
1281,Navid avaran vista tam co,2
1282,Nazm Afarinan Sanaat Sahand,1
1283,Neda sima asia co,2
1284,Nedaye etemad tous,1
1285,Nedaye sehat co,1
1286,Nedaye tejarat jahan co,1
1287,Negah Co,17
1288,Negah Roshan Pars Co,1
1289,Negar Pakhsh Khorasan Mehr Razavi,1
1290,Negin Partov Kerman Co,1
1291,Negin abzian arya,8
1292,Negin gostar khaij fars,1
1293,Negin gostar rabet alborz co,1
1294,Negin khorak pars,1
1295,Negin otomasion sanati tabriz,1
1296,Negin reis derakhshan,1
1297,Negin tejarat karoy co,2
1298,Nesteleh vaterz iranian,24
1299,Nestle Iran,50
1300,Nestleh iran,24
1301,Nezam Mohandesi Sakhteman Hormozgan,3
1302,Nezam mohanes Khorasan Shomali,1
1303,Nezarat hamahangi taavoni rostaei,1
1304,Niaresh tarh,1
1305,Nik andishan enerrji vasegh shargh,366
1306,Nik gaman pars co,1
1307,Nikan Fadjr e Talaeieh,1
1308,Nikan Fajr Talaeieh,1
1309,Niko Andish Najaf Abad Company,1
1310,Nil barg khavarmiyaneh co,1
1311,Nima Pouyesh Teb,1
1312,Nima pol co,2
1313,Nira jam co,1
1314,Niro afroz sepahan company,1
1315,Niro gostar farzam sanat diyana co,1
1316,Niro tavan ayrik co,1
1317,Nirogah atomi booshehr,5
1318,Nirouye Barghe Shahrestan Esfahan,1
1319,Nirouye Barghe Shahrestan Tabriz,11
1320,Nirouye Gharb Co,1
1321,Niyan Electronic Company,3
1322,No Avaran Dadeh Varzi Takin,10
1323,No avaran pouya bayt,2
1324,Noavaran Fan avazeh Co,1
1325,Noavaran Tavanmand Farhang Emrooz,1
1326,Noavaran hoshmand fars co,1
1327,Noavaran sahand enerji,1
1328,Noavaran shabakeh sabz mehregan,7
1329,Nobarg Selolouz Fariman Co,1
1330,Nor pardaz esfahan co,1
1331,Norik co,2
1332,Nosazi tajhiz maderes,1
1333,Nour Vijeh,8
1334,Nour felez sepahan co,1
1335,Nour kahkeshan co,1
1336,Novin padideh ansar,4
1337,Novin tak afagh ertebat mandegar,2
1338,Nowshahr network power,1
1339,Nozhan rayaneh pars,1
1340,Ofogh Pakhsh Adine,1
1341,Ofogh Tejarat Aghigh Parsian,1
1342,Ofogh binaye vachar,1
1343,Ofogh tahavol esfahan co,1
1344,Ofogh tahavol houshmand,1
1345,Olom pezeshi arak university,1
1346,Olom pezeshki va khadamt behdasht,2
1347,Oloum Pezeshki Khorasan Shomali,40
1348,Oloum Pezeshki shahid beheshti,10
1349,Olum va fanavari etelaat iran,6
1350,Omid daro salamat co,2
1351,Omid shamila co,1
1352,Omor kheiriyeh khorasan razavi,15
1353,Omor maliatiye ardebil,1
1354,Omran azarsetan,1
1355,Omran nosazi majd mashhad co,1
1356,Omran sazeh rahyab ahvaz co,1
1357,Omran shahre jadid majlesi,1
1358,Omran va maskan esfahan co,1
1359,Orest Modern Pars,619
1360,Orjance Tehran,131
1361,Orkideh fakher aryan co,1
1362,Osareh talaei tabriz,1
1363,Ostandari Gilan,1
1364,Ostandari Khuzestan,1
1365,Ostandari Tehran,9
1366,Otobos Rani Tabriz O Homeh,2
1367,Otobos rani tehran va homeh,1
1368,Otobosrani ardebil va homeh,1
1369,Otomasion daraye hasib,1
1370,Otomasion raad khavarmiyaneh,1
1371,Oustandari Fars,5
1372,PAK MEHRH QOM,100
1373,POYA TADBIR RAZAVI,1
1374,Padideh Tajhizat Sanaat Iranian Co,1
1375,Padideh tejarat kasra,1
1376,Padisan Co,1
1377,Padna polimer co,1
1378,Pak aria nam co,1
1379,Pak chob khozestan company,1
1380,Pakhsh  1o1,17
1381,Pakhsh 1&1,8
1382,Pakhsh Atlas Dena,5
1383,Pakhsh Faravardehhaye Nafti Co,1
1384,Pakhsh Gostar Abtin Ara Company,1
1385,Pakhsh Kala Avaran Pakban,2
1386,Pakhsh Sarasari Kalaye Kalber,1
1387,Pakhsh lavazem barghi sepehrmonavar,1
1388,Pakjo poyesh pichak co,1
1389,Palayesh Gaze Ilam Co,6
1390,Palayesh Naft Shiraz,3
1391,Palayeshgah naft tabriz,5
1392,Panizan sanat pouya co,1
1393,Parash nor bonyan co,2
1394,Pardakht Electronic Behestan,203
1395,Pardakht Electronic Saman Co,2524
1396,Pardakht electronic Sadad,8729
1397,Pardakht electronic saman kish co,1
1398,Pardakht electronic sepehr co,5
1399,Pardakht novin arian,1955
1400,Pardazesh Electronic Rashed Samaneh,1
1401,Pardazesh Garan Almas Pasargad,8
1402,Pardazesh electronic tandis co,1
1403,Pardazeshgaran Saman,4
1404,Pardis Pazhouhan Alborz,1
1405,Pardis Tejarat Sadaf,1
1406,Pardis toseh madaen co,1
1407,Pargasg pisheh sepehr co,1
1408,Parizan sanat co,4
1409,Park fanavari pardis,2
1410,Parkha& Fazaye Sabze Shahrdarie Qom,1
1411,Parliment,327
1412,Parnian gostar parto sanj co,1
1413,Pars Alin mehr,1
1414,Pars Aylin Mehr,3
1415,Pars Kerep,1
1416,Pars Pouya Control Binalood Co,55
1417,Pars Teb Iranian Farda,4
1418,Pars arak co,1
1419,Pars darya karmaniya co,1
1420,Pars dorik zarin mehr co,1
1421,Pars gol narges co,1
1422,Pars hasas co,2
1423,Pars hesgar pazh co,1
1424,Pars jameh istatis co,2
1425,Pars kar company,1
1426,Pars mofasal aria co,2
1427,Pars newshanik,5
1428,Pars nor afroz novin alborz co,1
1429,Pars otomasion omid co,1
1430,Pars paya khotot khuzestan co,1
1431,Pars pelastic ghateh mad,1
1432,Pars pol kish co,1
1433,Pars pouya,1
1434,Pars sakhtar co,1
1435,Pars sanat parand co,2
1436,Pars shayan mehr co,2
1437,Pars shoa tous,2
1438,Parsian Hotels,1
1439,Part papiros,1
1440,Part papiros co,2
1441,Part taban kimia,1
1442,Parto Karan San'at Sarv Sazeh Co,1
1443,Parto Pajouh Ayandeh,1
1444,Parto Tamas Novin Co,1
1445,Parto tejarat taban co,1
1446,Pasargad Bank,4
1447,Pasargad Refining chemistry Co,500
1448,Pasargad bank,509
1449,Pasargad bastan co,1
1450,Paya baspar ghateh co,1
1451,Paya hosmand rasad,1
1452,Payam Dahi Ertebat,12
1453,Payam gordan tehran co,1
1454,Payam keyhan tous,2
1455,Payaneh'ha & Makhazen Petroshimi,2
1456,Payesh System Sepahan Co,1
1457,Payesh gostaram pishro co,1
1458,Payeshgaran modiriat tarh,1
1459,Paygah seyl iranian,1
1460,Pazhohande Niroo,1
1461,Pazhoheash afzar pardis mehrafarin,1
1462,Pazhohesh metalozhi razi,2
1463,Pazhoheshgah niro,1
1464,Pazhoheshgah shakhes poroje,1
1465,Pazhoheshi sanat khodrosazi co,2
1466,Pazhoheshkadeh kalbodi,1
1467,Pazhuhesh & Fanavari Petroshimi,3
1468,Pegah Dadeh Kavan Sharif,2
1469,Peiman enerzhi nafis co,2
1470,Peiman yar iranian,3
1471,Peimandost tehran,1
1472,Peresi Iran Gaz E.A Co,3
1473,Pergas Teb Co,5
1474,Perin Beton Amoud Co,1
1475,Perlook Pardis Parseh,1
1476,Persal,1
1477,Pershana fani pasargad co,1
1478,Persi Iran Gaz co,2
1479,Petro Atlas faragir,1
1480,Petro Pishtaz Naft Pershan Co,2
1481,Petro Tajhiz Almas Khavarmiane,1
1482,Petro ayric karafarinan parsian co,2
1483,Petro falat fan avaran sepanta co,1
1484,Petro niro saba co,1
1485,Petro palayesh kian sanat co,5
1486,Petro pelastic hamon atlas mashhad,2
